loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,gaia_dist,st_teff,st_mass,pl_facility,,,,rowupdate
1,11 Com,11 Com b,Radial Velocity,1,326.03,1.29,19.4,93.37,93.37,4742,2.7,Xinglong Station,,,,14-05-2014
2,11 UMi,11 UMi b,Radial Velocity,1,516.21997,1.53,14.74,125.72,125.72,4213,2.78,Thueringer Landessternwarte Tautenburg,,,,06-09-2018
3,14 And,14 And b,Radial Velocity,1,185.84,0.83,4.8,75.59,75.59,4813,2.2,Okayama Astrophysical Observatory,,,,14-05-2014
4,14 Her,14 Her b,Radial Velocity,1,1773.40002,2.93,4.66,17.94,17.94,5338,0.9,W. M. Keck Observatory,,,,06-09-2018
5,16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,1.66,1.78,21.15,21.15,5750,1.08,Multiple Observatories,,,,06-09-2018
6,18 Del,18 Del b,Radial Velocity,1,993.3,2.6,10.3,76.38,76.38,4979,2.3,Okayama Astrophysical Observatory,,,,14-05-2014
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,330,8,145,139.67,4060,0.85,Gemini Observatory,,,,01-04-2015
8,24 Boo,24 Boo b,Radial Velocity,1,30.3506,0.19,0.91,96.25,96.25,4893,0.99,Okayama Astrophysical Observatory,,,,26-04-2018
9,24 Sex,24 Sex b,Radial Velocity,2,452.8,1.333,1.99,72.21,72.21,5098,1.54,Lick Observatory,,,,14-05-2014
10,24 Sex,24 Sex c,Radial Velocity,2,883,2.08,0.86,72.21,72.21,5098,1.54,Lick Observatory,,,,14-05-2014
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,1,,52,24.5,36,33.86,3530,0.4,W. M. Keck Observatory,,,,14-05-2014
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,1,,156,13.9,39.4,40.09,3064,0.11,Cerro Tololo Inter-American Observatory,,,,14-05-2015
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,1,,15,7.5,140,120.42,,0.02,Hubble Space Telescope,,,,14-05-2014
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,1,,46,4,64.42,64.42,,0.02,Paranal Observatory,,,,14-05-2014
15,2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416,0.92,1.9,400.77,400.77,,0.48,Kepler,,,,04-06-2015
16,2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,Imaging,1,7336.5,,20.95,25,33.12,2300,0.08,W. M. Keck Observatory,,,,14-05-2014
17,2MASS J22362452+4751425,2MASS J22362452+4751425 b,Imaging,1,,230,12.5,74,69.71,4045,0.6,W. M. Keck Observatory,,,,10-11-2016
18,30 Ari B,30 Ari B b,Radial Velocity,1,335.10001,0.99,13.82,44.71,44.71,6331,1.93,Thueringer Landessternwarte Tautenburg,,,,06-09-2018
19,4 UMa,4 UMa b,Radial Velocity,1,269.3,0.87,7.1,73.58,73.58,4415,1.23,Thueringer Landessternwarte Tautenburg,,,,14-05-2014
20,42 Dra,42 Dra b,Radial Velocity,1,479.1,1.19,3.88,90.86,90.86,4200,0.98,Thueringer Landessternwarte Tautenburg,,,,14-05-2014
21,47 UMa,47 UMa b,Radial Velocity,3,1078,2.1,2.53,13.8,13.8,5892,1.03,Lick Observatory,,,,14-05-2014
22,47 UMa,47 UMa c,Radial Velocity,3,2391,3.6,0.54,13.8,13.8,5892,1.03,Lick Observatory,,,,14-05-2014
23,47 UMa,47 UMa d,Radial Velocity,3,14002,11.6,1.64,13.8,13.8,5892,1.03,Lick Observatory,,,,14-05-2014
24,51 Eri,51 Eri b,Imaging,1,11688,12,,29.4,29.78,,1.75,Gemini Observatory,,,,11-07-2019
25,51 Peg,51 Peg b,Radial Velocity,1,4.230785,0.0527,0.472,15.47,15.47,5793,1.12,Haute-Provence Observatory,,,,14-05-2014
26,55 Cnc,55 Cnc b,Radial Velocity,5,14.65152,0.115227,0.8306,12.59,12.59,5196,0.91,Lick Observatory,,,,29-10-2014
27,55 Cnc,55 Cnc c,Radial Velocity,5,44.4175,0.241376,0.1714,12.59,12.59,5196,0.91,McDonald Observatory,,,,29-10-2014
28,55 Cnc,55 Cnc d,Radial Velocity,5,4825,5.503,3.878,12.59,12.59,5196,0.91,Lick Observatory,,,,29-10-2014
29,55 Cnc,55 Cnc e,Radial Velocity,5,0.736539,0.01544,0.02542,12.59,12.59,5196,0.91,McDonald Observatory,,,,31-01-2019
30,55 Cnc,55 Cnc f,Radial Velocity,5,262,0.788,0.141,12.59,12.59,5196,0.91,Multiple Observatories,,,,29-10-2014
31,6 Lyn,6 Lyn b,Radial Velocity,1,934.3,2.11,2.01,54.74,54.74,4938,1.44,Okayama Astrophysical Observatory,,,,06-12-2018
32,61 Vir,61 Vir b,Radial Velocity,3,4.215,0.050201,0.016,8.51,8.51,5577,0.94,Multiple Observatories,,,,14-05-2014
33,61 Vir,61 Vir c,Radial Velocity,3,38.021,0.2175,0.057,8.51,8.51,5577,0.94,Multiple Observatories,,,,14-05-2014
34,61 Vir,61 Vir d,Radial Velocity,3,123.01,0.476,0.072,8.51,8.51,5577,0.94,Multiple Observatories,,,,14-05-2014
35,7 CMa,7 CMa b,Radial Velocity,1,796,1.93,2.46,19.82,19.82,4792,1.52,Anglo-Australian Telescope,,,,22-10-2015
36,70 Vir,70 Vir b,Radial Velocity,1,116.688,0.481,7.416,17.91,17.91,5495,1.09,Lick Observatory,,,,06-12-2018
37,75 Cet,75 Cet b,Radial Velocity,1,691.9,2.1,3,83.15,83.15,4846,2.49,Okayama Astrophysical Observatory,,,,03-09-2015
38,8 UMi,8 UMi b,Radial Velocity,1,93.4,0.49,1.31,163.32,163.32,4847,1.44,Bohyunsan Optical Astronomical Observatory,,,,06-09-2018
39,81 Cet,81 Cet b,Radial Velocity,1,952.7,2.5,5.3,101.53,101.53,4785,2.4,Okayama Astrophysical Observatory,,,,14-05-2014
40,91 Aqr,91 Aqr b,Radial Velocity,1,181.4,0.7,3.2,44.08,44.08,4665,1.4,Lick Observatory,,,,14-05-2014
41,AB Pic,AB Pic b,Imaging,1,,260,13.5,50.12,50.12,,,Paranal Observatory,,,,14-05-2014
42,BD+03 2562,BD+03 2562 b,Radial Velocity,1,481.9,1.3,6.4,2618,1106.93,4095,1.14,Multiple Observatories,,,,15-06-2017
43,BD+14 4559,BD+14 4559 b,Radial Velocity,1,268.94,0.78,1.04,49.42,49.42,4864,0.49,McDonald Observatory,,,,06-09-2018
44,BD+15 2375,BD+15 2375 b,Radial Velocity,1,153.22,0.576,1.061,774,785.38,4649,1.08,Roque de los Muchachos Observatory,,,,04-02-2016
45,BD+15 2940,BD+15 2940 b,Radial Velocity,1,137.48,0.539,1.11,431.61,431.61,4796,1.1,McDonald Observatory,,,,14-05-2014
46,BD+20 2457,BD+20 2457 b,Radial Velocity,2,379.63,1.05,55.59,1670.85,1670.85,4259,10.83,McDonald Observatory,,,,06-09-2018
47,BD+20 2457,BD+20 2457 c,Radial Velocity,2,621.99,2.01,12.47,1670.85,1670.85,4259,10.83,McDonald Observatory,,,,14-05-2014
48,BD+20 274,BD+20 274 b,Radial Velocity,1,578.2,1.3,4.2,1383.85,1383.85,4296,0.8,McDonald Observatory,,,,18-09-2015
49,BD+20 594,BD+20 594 b,Transit,1,41.6855,,0.07,180.39,180.39,5766,1.67,K2,,,,26-04-2018
50,BD+48 738,BD+48 738 b,Radial Velocity,1,392.6,1,0.91,892.17,892.17,4414,0.74,McDonald Observatory,,,,13-08-2015
51,BD+48 740,BD+48 740 b,Radial Velocity,1,733,1.7,1.7,678.94,678.94,4534,1.09,Multiple Observatories,,,,01-02-2018
52,BD+49 828,BD+49 828 b,Radial Velocity,1,2590,4.2,1.6,447.59,447.59,4943,1.52,McDonald Observatory,,,,05-02-2015
53,BD-06 1339,BD-06 1339 b,Radial Velocity,2,3.8728,0.0428,0.027,20.28,20.28,4324,0.7,La Silla Observatory,,,,14-05-2014
54,BD-06 1339,BD-06 1339 c,Radial Velocity,2,125.94,0.435,0.17,20.28,20.28,4324,0.7,La Silla Observatory,,,,14-05-2014
55,BD-08 2823,BD-08 2823 b,Radial Velocity,2,5.6,0.06,0.04,41.38,41.38,4816,0.5,La Silla Observatory,,,,06-09-2018
56,BD-08 2823,BD-08 2823 c,Radial Velocity,2,237.6,0.68,0.33,41.38,41.38,4816,0.5,La Silla Observatory,,,,14-05-2014
57,BD-10 3166,BD-10 3166 b,Radial Velocity,1,3.48777,0.04,0.59,84.61,84.61,5393,1.47,W. M. Keck Observatory,,,,06-09-2018
58,BD-11 4672,BD-11 4672 b,Radial Velocity,1,1667,2.28,0.53,27.3,27.19,4475,0.57,La Silla Observatory,,,,08-01-2015
59,BD-13 2130,BD-13 2130 b,Radial Velocity,1,714.29999,1.66,9.78,948.75,948.75,4545,2.12,La Silla Observatory,,,,06-09-2018
60,BD-17 63,BD-17 63 b,Radial Velocity,1,655.6,1.34,5.1,34.49,34.49,4714,0.74,La Silla Observatory,,,,14-05-2014
61,CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,Imaging,1,10037.5,2.6,10.5,23.1,,580.5,0.02,W. M. Keck Observatory,,,,14-05-2014
62,CHXR 73,CHXR 73 b,Imaging,1,,210,12.569,191.05,191.05,,0.35,Hubble Space Telescope,,,,14-05-2014
63,CI Tau,CI Tau b,Radial Velocity,1,8.9891,,11.6,158,158.71,,0.9,Multiple Observatories,,,,27-06-2019
64,CT Cha,CT Cha b,Imaging,1,,440,17,165,191.78,,,Paranal Observatory,,,,14-05-2014
65,CoRoT-1,CoRoT-1 b,Transit,1,1.5089557,,1.03,805.31,805.31,5950,0.95,CoRoT,,,,14-05-2014
66,CoRoT-10,CoRoT-10 b,Transit,1,13.2406,0.1055,2.75,345,341.65,5075,0.89,CoRoT,,,,14-05-2014
67,CoRoT-11,CoRoT-11 b,Transit,1,2.99433,0.0436,2.33,560,666.35,6440,1.27,CoRoT,,,,14-05-2014
68,CoRoT-12,CoRoT-12 b,Transit,1,2.828042,0.04016,0.917,1150,1161.12,5675,1.08,CoRoT,,,,14-05-2014
69,CoRoT-13,CoRoT-13 b,Transit,1,4.03519,0.051,1.308,1060,1184.91,5945,1.09,CoRoT,,,,14-05-2014
70,CoRoT-14,CoRoT-14 b,Transit,1,1.51214,0.027,7.6,1340,1826.96,6035,1.13,CoRoT,,,,14-05-2014
71,CoRoT-16,CoRoT-16 b,Transit,1,5.35227,0.0618,0.535,840,745.96,5650,1.1,CoRoT,,,,14-05-2014
72,CoRoT-17,CoRoT-17 b,Transit,1,3.7681,0.0461,2.43,920,1214.51,5740,1.04,CoRoT,,,,14-05-2014
73,CoRoT-18,CoRoT-18 b,Transit,1,1.9000693,0.0295,3.47,870,780.87,5440,0.95,CoRoT,,,,14-05-2014
74,CoRoT-19,CoRoT-19 b,Transit,1,3.89713,0.0518,1.11,770,807.99,6090,1.21,CoRoT,,,,14-05-2014
75,CoRoT-2,CoRoT-2 b,Transit,1,1.7429935,0.02798,3.47,200,214.56,5625,0.96,CoRoT,,,,14-05-2014
76,CoRoT-20,CoRoT-20 b,Transit,2,9.24285,0.09,4.3,864.31,864.31,,1.14,CoRoT,,,,19-07-2018
77,CoRoT-20,CoRoT-20 c,Radial Velocity,2,1675,2.9,17,864.31,864.31,,1.14,Multiple Observatories,,,,19-07-2018
78,CoRoT-21,CoRoT-21 b,Transit,1,2.72474,0.0417,2.26,1398.83,1398.83,6200,1.29,CoRoT,,,,06-12-2018
79,CoRoT-22,CoRoT-22 b,Transit,1,9.75598,0.092,0.038,592,638.47,5939,1.1,CoRoT,,,,21-08-2014
80,CoRoT-23,CoRoT-23 b,Transit,1,3.6313,0.048,2.8,600,1092.4,5900,1.14,CoRoT,,,,14-05-2014
81,CoRoT-24,CoRoT-24 b,Transit,2,5.1134,0.056,0.018,600,601.22,4950,0.91,CoRoT,,,,31-05-2018
82,CoRoT-24,CoRoT-24 c,Transit,2,11.759,0.098,0.088,600,601.22,4950,0.91,CoRoT,,,,11-06-2014
83,CoRoT-25,CoRoT-25 b,Transit,1,4.86069,0.0578,0.27,1000,1137.85,6040,1.09,CoRoT,,,,14-05-2014
84,CoRoT-26,CoRoT-26 b,Transit,1,4.20474,0.0526,0.52,1670,,5590,1.09,CoRoT,,,,14-05-2014
85,CoRoT-27,CoRoT-27 b,Transit,1,3.57532,0.0476,10.39,1035.15,1035.15,5900,1.05,CoRoT,,,,14-05-2014
86,CoRoT-28,CoRoT-28 b,Transit,1,5.20851,0.0603,0.484,560,783.18,5150,1.01,CoRoT,,,,16-04-2015
87,CoRoT-29,CoRoT-29 b,Transit,1,2.85057,0.0386,0.85,765,822.62,5260,0.97,CoRoT,,,,16-04-2015
88,CoRoT-3,CoRoT-3 b,Transit,1,4.2568,,21.66,680,784.49,6740,1.37,CoRoT,,,,14-05-2014
89,CoRoT-4,CoRoT-4 b,Transit,1,9.20205,0.09,0.72,741.6,741.6,6190,1.16,CoRoT,,,,14-05-2014
90,CoRoT-5,CoRoT-5 b,Transit,1,4.0378962,0.04947,0.467,904.65,904.65,6100,1,CoRoT,,,,14-05-2014
